id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
102,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
103,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,182.88,182.88,False,False,False,False,False,6,6,Partial Shade
104,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,182.88,182.88,False,False,False,False,False,6,6,Partial Shade
105,Tree,Perennial,Average,0,Missing,Low,True,False,False,False,False,False,Moderate,False,False,0,0,182.88,182.88,False,False,False,False,False,6,6,Partial Shade
106,Tree,Perennial,Frequent,1,Low,Low,False,False,False,False,False,False,High,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
107,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,365.76,365.76,False,False,False,False,False,5,5,Partial Shade
108,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,365.76,365.76,False,False,False,False,False,5,5,Partial Shade
109,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,182.88,182.88,False,False,False,False,False,5,5,Partial Shade
110,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,5,5,Partial Shade
111,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
112,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
113,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,914.4,914.4,False,False,False,False,False,5,5,Partial Shade
114,Tree,Perennial,Average,0,Missing,Moderate,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
115,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
116,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,365.76,365.76,False,False,False,False,False,6,6,Partial Shade
